measure,cond,est,lo,hi,p,n
IAF (Hz/year),ec,0.12817524327942886,0.11369197536865315,0.1426585111902046,2.134840086755346e-67,1730
"fixed 8-12 Hz band, lambda=0",ec,-0.025622250103673822,-0.04760367282815192,-0.003640827379195726,0.022336482377927624,1692
"fixed 8-12 Hz band, lambda=1",ec,0.03768002443989354,0.0198646858923792,0.05549536298740788,3.392387689144005e-05,1692
"fixed 8-12 Hz band, background ln b",ec,-0.06465458799372209,,,,1730
"fixed 8-12 Hz band, crossover lambda*",ec,0.3962943837204828,,,,1692
specparam flattened alpha (log10),ec,0.02418195514577739,0.019589491649665725,0.02877441864188906,5.702392320432421e-25,1730
specparam alpha peak height (log10),ec,0.029637389399488637,0.022856676802824306,0.03641810199615297,1.0650850704209444e-17,1722
ln power 30-45 Hz,ec,-0.028533750065819218,-0.03946316443792279,-0.017604335693715643,3.1053763600252456e-07,1730
"fixed 8-12 Hz band, lambda=0",eo,-0.07644220725947985,-0.09889031043249838,-0.053994104086461325,2.4852078820482102e-11,1509
"fixed 8-12 Hz band, lambda=1",eo,-0.0005435068319639045,-0.020385622330936454,0.019298608667008648,0.9571849354261649,1509
"fixed 8-12 Hz band, background ln b",eo,-0.07645126940943581,,,,1730
"fixed 8-12 Hz band, crossover lambda*",eo,0.9998814650165267,,,,1509
specparam flattened alpha (log10),eo,0.004486205039073699,0.0005915861472221714,0.008380823930925227,0.023965663083615335,1730
specparam alpha peak height (log10),eo,0.005341797569439736,0.00012295667715365131,0.010560638461725821,0.044841203239251025,1636
ln power 30-45 Hz,eo,-0.0408573886043747,-0.052977949350738844,-0.02873682785801055,3.9252147593199114e-11,1730
gain reference phi (30-45 Hz / background slope),ec,0.305639067984425,,,,1730
gain reference phi (30-45 Hz / background slope),eo,0.3907097593928407,,,,1730
