cond,measure,rho,slope,lo,hi,n
eo,total,-0.3295685080408969,-0.12841453912682427,-0.14982295091441936,-0.10787691900389178,2798
eo,lambda=0,-0.24833217608021088,-0.11619550760737567,-0.13827935866607857,-0.09524612613585803,2354
eo,lambda=0.5,-0.13513721727571484,-0.051867535675998055,-0.06887160767842171,-0.03360154417222566,2354
eo,lambda=1,0.03956831526089131,0.012460436255379542,-0.0050015256553965545,0.03023341156000645,2354
eo,background,-0.4151169070262332,-0.1316219250021311,-0.15430637481325532,-0.10800692941040031,2798
ec,total,-0.13853328087712172,-0.05548246457337919,-0.07567160198128363,-0.034450085458953915,2798
ec,lambda=0,-0.10897905333620447,-0.04631801986139141,-0.06576227361991846,-0.024907619642535857,2695
ec,lambda=0.5,0.029852259541130053,0.006580919996253285,-0.010956686366192592,0.02286971689456588,2695
ec,lambda=1,0.2038408230747551,0.059479859853898046,0.04378757969088627,0.07491881360953648,2695
ec,background,-0.354322545043234,-0.1031626647536058,-0.12072086728652955,-0.08512797473699435,2798
ec-eo,total,0.26933826807629335,0.07293207455344501,0.05956488427486567,0.08635312816448017,2798
ec-eo,lambda=0,0.2543029872333553,0.07913882802035065,0.06362428575406608,0.09507505716995253,2333
ec-eo,lambda=1,0.179713448675628,0.05174784150990489,0.03805426633665387,0.06577562773359767,2333
