cond,measure,rho,slope,lo,hi,n
eo,total,-0.3295685080408969,-0.12841453912682427,-0.14982295091441936,-0.10787691900389178,2798
eo,lambda=0,-0.24547055117930652,-0.1294423574781032,-0.1571383135005867,-0.10335408797660038,2070
eo,lambda=0.5,-0.14984132558005553,-0.06548572340629459,-0.08724827955491718,-0.04388969980158072,2070
eo,lambda=1,0.012282400411425882,-0.0015290893344860152,-0.019842468359631136,0.017133496821678983,2070
eo,background,-0.3287022993985033,-0.11942680341356236,-0.14105726846149255,-0.09662001945030624,2798
ec,total,-0.13853328087712172,-0.05548246457337919,-0.07585770290702291,-0.0346853785654139,2798
ec,lambda=0,-0.08670565313515222,-0.038839668377654984,-0.060571505520526925,-0.01744765002261866,2559
ec,lambda=0.5,0.025482122884225588,0.006447623081022674,-0.01118538904550678,0.023625248566049136,2559
ec,lambda=1,0.17401709196196347,0.051734914539700264,0.03600705328879896,0.06743144011412265,2559
ec,background,-0.2571253675194921,-0.08846786603826742,-0.10596375675305279,-0.07053696856439233,2798
ec-eo,total,0.26933826807629335,0.07293207455344501,0.05967940429476489,0.08652412979940872,2798
ec-eo,lambda=0,0.2738219424246971,0.09854485716941609,0.07762958424933829,0.11819855631543545,2016
ec-eo,lambda=1,0.17685751932738303,0.06434030717373046,0.045643049679754306,0.08294798702500573,2016
