sample,model,cond,lam,estimator,est,lo,hi,p,n,I2,p_holm
qc,fixed,ec,0.0,ols,-0.05117737135174175,-0.06778530576367345,-0.03456943693981005,1.5446653515600159e-09,2350,,6.1786614062400635e-09
qc,fixed,ec,0.0,boot,-0.05117737135174175,-0.06691109403141318,-0.034476434623496505,,2350,,
qc,fixed,ec,0.0,huber,-0.05252173582639489,-0.06833685160332172,-0.036706620049468064,7.564883742758139e-11,2350,,
qc,fixed,ec,0.0,theilsen,-0.04554930837188568,-0.06145255856532707,-0.02929796113025155,,2350,,
qc,fixed,ec,0.0,skipped,-0.06876164413605203,-0.10917924075827455,-0.02704583752620585,0.0014141185978618525,2350,,
qc,fixed,ec,0.0,wls,-0.05254439879811428,-0.06855642759148728,-0.03653237000474129,1.261553796311951e-10,2350,,
qc,fixed,ec,0.0,covar,-0.053482588725330106,-0.07076134970204742,-0.03620382774861279,1.3061739341733843e-09,2350,,
qc,fixed,ec,0.0,release_re,-0.05805722151574199,-0.08500080963228424,-0.03111363339919974,0.0007224083655625363,2350,0.5437301808340294,
qc,fixed,ec,0.0,age5_16,-0.04032223902753571,-0.06231224754634054,-0.018332230508730885,0.0003257509905998808,2350,,
qc,fixed,ec,0.0,quad,-0.03963618301617252,-0.06127142147581492,-0.01800094455653012,0.0003298003878214634,2350,,
qc,fixed,ec,1.0,ols,0.047313278213130416,0.0338563309119155,0.060770225514345334,5.538714264031532e-12,2350,,2.769357132015766e-11
qc,fixed,ec,1.0,boot,0.047313278213130416,0.03364324242517511,0.06135892281941425,,2350,,
qc,fixed,ec,1.0,huber,0.05075187139661608,0.03946889421857477,0.06203484857465739,1.1851704900711484e-18,2350,,
qc,fixed,ec,1.0,theilsen,0.058416053227733127,0.04698026701558061,0.0698284115214316,,2350,,
qc,fixed,ec,1.0,skipped,0.2864035371650252,0.24872593962333128,0.3245143984975119,7.32913977196492e-41,2350,,
qc,fixed,ec,1.0,wls,0.04521069210958081,0.03295018823923962,0.05747119597992201,4.923985928777856e-13,2350,,
qc,fixed,ec,1.0,covar,0.04371794309618324,0.02946611380930854,0.057969772383057935,1.8296322627721785e-09,2350,,
qc,fixed,ec,1.0,release_re,0.04256657070642289,0.020566534382177332,0.06456660703066845,0.0015344380021586432,2350,0.6094213472646,
qc,fixed,ec,1.0,age5_16,0.06209242613277877,0.04484367270572336,0.07934117955983419,1.7195686607370816e-12,2350,,
qc,fixed,ec,1.0,quad,0.06366165728831674,0.046896165529491815,0.08042714904714167,9.891430360881789e-14,2350,,
qc,fixed,ec,1.0,"ln(tot/b), all",0.04446154699048152,0.03501036776367136,0.05391272621729168,2.961757264833346e-20,2396,,
qc,fixed,ec,0.0,"linear a, Theil-Sen, %/y",-0.02493888208186518,-0.036825058557038166,-0.01355992216233389,,2396,,
qc,fixed,eo,0.0,ols,-0.10679914276135775,-0.12498622151407678,-0.08861206400863873,1.1829033603076644e-30,2110,,9.463226882461315e-30
qc,fixed,eo,0.0,boot,-0.10679914276135775,-0.1257164277205196,-0.08844662188733986,,2110,,
qc,fixed,eo,0.0,huber,-0.11020464368734316,-0.12793371613303106,-0.09247557124165527,3.819157684335631e-34,2110,,
qc,fixed,eo,0.0,theilsen,-0.11176425026976544,-0.12991868072022467,-0.09350463646123293,,2110,,
qc,fixed,eo,0.0,skipped,-0.24645035693889641,-0.2857098554611308,-0.20460909901728613,1.1704369165998983e-28,2110,,
qc,fixed,eo,0.0,wls,-0.10447420793861029,-0.12096787183325665,-0.08798054404396392,2.17204925833484e-35,2110,,
qc,fixed,eo,0.0,covar,-0.10726187671763884,-0.12536142277731954,-0.08916233065795814,3.4507656750445377e-31,2110,,
qc,fixed,eo,0.0,release_re,-0.11091080050448904,-0.14145765078716488,-0.08036395022181318,1.0674180530284306e-05,2110,0.5142566745881434,
qc,fixed,eo,0.0,age5_16,-0.11144102694370443,-0.13638899125391407,-0.0864930626334948,2.040330145201851e-18,2110,,
qc,fixed,eo,0.0,quad,-0.11441417026483497,-0.13893332880896203,-0.0898950117207079,5.918269004409277e-20,2110,,
qc,fixed,eo,1.0,ols,-0.0017342316328418511,-0.018444138985467536,0.014975675719783834,0.8388113436859748,2110,,0.8388113436859748
qc,fixed,eo,1.0,boot,-0.0017342316328418511,-0.018013963737852655,0.015198159965851757,,2110,,
qc,fixed,eo,1.0,huber,-0.0018019404784568361,-0.01688495465935665,0.013281073702442976,0.8148659223301433,2110,,
qc,fixed,eo,1.0,theilsen,0.003049441745568489,-0.01240609739420151,0.018670336271664006,,2110,,
qc,fixed,eo,1.0,skipped,0.03149442421768508,-0.011921951596124473,0.0748421071118636,0.16533479398444373,2110,,
qc,fixed,eo,1.0,wls,9.780819524368279e-05,-0.014516417541322567,0.014712033931809934,0.9895341349107004,2110,,
qc,fixed,eo,1.0,covar,-0.0015447955789696156,-0.018444830107626913,0.015355238949687681,0.8578151599210201,2110,,
qc,fixed,eo,1.0,release_re,-0.0022272187946844094,-0.028642600597466518,0.0241881630080977,0.8547390313646522,2110,0.5096524825612073,
qc,fixed,eo,1.0,age5_16,0.006150575334234618,-0.016332458497972085,0.02863360916644132,0.5918355973539364,2110,,
qc,fixed,eo,1.0,quad,0.006161699496821817,-0.015289553633756153,0.027612952627399785,0.5734458805130432,2110,,
qc,fixed,eo,1.0,"ln(tot/b), all",-0.0017759169708162716,-0.010312303776518067,0.006760469834885523,0.6834553688136467,2396,,
qc,fixed,eo,0.0,"linear a, Theil-Sen, %/y",-0.08467468516452244,-0.10265164412175638,-0.06764819988915197,,2396,,
qc,knee_plateau,ec,0.0,ols,-0.03820703934122991,-0.055159004820024185,-0.02125507386243564,9.98732218992611e-06,2254,,2.996196656977833e-05
qc,knee_plateau,ec,0.0,boot,-0.03820703934122991,-0.05490827331563373,-0.020909897638391746,,2254,,
qc,knee_plateau,ec,0.0,huber,-0.0423448191358259,-0.058550797264149884,-0.02613884100750191,3.035710825881674e-07,2254,,
qc,knee_plateau,ec,0.0,theilsen,-0.0348978085738421,-0.051427592475902104,-0.018243566659680754,,2254,,
qc,knee_plateau,ec,0.0,skipped,-0.053723567593998524,-0.09549638048955607,-0.010555187900415224,0.01476664924121117,2254,,
qc,knee_plateau,ec,0.0,wls,-0.04499745085682855,-0.05962052783008037,-0.03037437388357672,1.6283748106928526e-09,2254,,
qc,knee_plateau,ec,0.0,covar,-0.03796536431010772,-0.055712696873048764,-0.020218031747166673,2.7555078097252115e-05,2254,,
qc,knee_plateau,ec,0.0,release_re,-0.044243573489227535,-0.0690813116620087,-0.019405835316446372,0.0026476475701353356,2254,0.4582167501511848,
qc,knee_plateau,ec,0.0,age5_16,-0.027475637160688626,-0.04974083139676805,-0.005210442924609201,0.015579092005271107,2254,,
qc,knee_plateau,ec,0.0,quad,-0.0275522880972431,-0.049997463917451454,-0.00510711227703475,0.016131413360845608,2254,,
qc,knee_plateau,ec,1.0,ols,0.04937762542581848,0.03642840847738217,0.06232684237425479,7.797972519655926e-14,2254,,4.678783511793556e-13
qc,knee_plateau,ec,1.0,boot,0.04937762542581848,0.0365397310906206,0.06204863256018455,,2254,,
qc,knee_plateau,ec,1.0,huber,0.04884741148630396,0.037658385349321526,0.0600364376232864,1.1632193905143339e-17,2254,,
qc,knee_plateau,ec,1.0,theilsen,0.05085571574355936,0.03934653421822182,0.06242727676839784,,2254,,
qc,knee_plateau,ec,1.0,skipped,0.219517892105643,0.17687191841913957,0.26294533085826066,7.828983368399321e-24,2254,,
qc,knee_plateau,ec,1.0,wls,0.041850001403980146,0.03205847771353899,0.051641525094421305,5.425140544335348e-17,2254,,
qc,knee_plateau,ec,1.0,covar,0.05222123857834322,0.038465939493240064,0.06597653766344637,1.0000482725575167e-13,2254,,
qc,knee_plateau,ec,1.0,release_re,0.04690944239626783,0.031485740188775,0.06233314460376065,4.879062141331236e-05,2254,0.1860066738871049,
