age,deriv,lo,hi,cond,lam
6.0,-0.07574537783070934,-0.17009444434277654,0.017351908756031202,ec,0.0
7.0,-0.06496672990620178,-0.14029892410778244,0.011915677916131564,ec,0.0
8.0,-0.04491656543021305,-0.09058874834821773,0.004310883309247035,ec,0.0
9.0,-0.018358128267845775,-0.05095193889453997,0.01780743707947745,ec,0.0
10.0,-0.006299192665888409,-0.05466159516720093,0.045989053088253684,ec,0.0
11.0,-0.013136746857469461,-0.0629893883209357,0.03678500184086608,ec,0.0
12.0,-0.03637031836213778,-0.06940853464053576,-0.0052690166973753455,ec,0.0
13.0,-0.05952185057186421,-0.08414480218211856,-0.03669230431946663,ec,0.0
14.0,-0.07955743630049028,-0.11408163562846091,-0.04910912260353773,ec,0.0
15.0,-0.09647707554801155,-0.14251639652809056,-0.0544653899466589,ec,0.0
16.0,-0.11028076831443467,-0.16707138324341242,-0.058051260538125156,ec,0.0
17.0,-0.12096851459975522,-0.18701378076980413,-0.06011150970977575,ec,0.0
18.0,-0.1285403144039754,-0.2007600109014545,-0.06021453380980476,ec,0.0
6.0,0.062020463721566,-0.007687739223520673,0.13251284844219413,ec,1.0
7.0,0.0660843161354574,0.010114803214045454,0.12386373293915486,ec,1.0
8.0,0.07364379018779621,0.03877701800857958,0.10884407345741831,ec,1.0
9.0,0.08324434375911238,0.05782543617204139,0.10845800998969146,ec,1.0
10.0,0.08382770839026499,0.04593433964724947,0.12191235081314876,ec,1.0
11.0,0.0730793563391674,0.03437517391659317,0.11142563315085713,ec,1.0
12.0,0.05258859383356462,0.026199293043463245,0.07976279300797429,ec,1.0
13.0,0.03282891266069843,0.013055060480255065,0.05351069162729071,ec,1.0
14.0,0.01572867141001355,-0.008258381959926397,0.04020700884259881,ec,1.0
15.0,0.0012878700815188715,-0.031327885130401856,0.03573687990359964,ec,1.0
16.0,-0.010493491324798931,-0.050423368091367604,0.03218823954910699,ec,1.0
17.0,-0.019615412808926536,-0.06561797606360925,0.029852123374593233,ec,1.0
18.0,-0.026077894370870602,-0.07790696353436133,0.027531183065190968,ec,1.0
6.0,-0.16661511564118436,-0.2710082825428851,-0.06351415489929224,eo,0.0
7.0,-0.1564328913491453,-0.23856592429328266,-0.07367332490177153,eo,0.0
8.0,-0.13760498751585415,-0.18900600410408294,-0.08761012193695866,eo,0.0
9.0,-0.11245303807315143,-0.15338741304656864,-0.07488304153229887,eo,0.0
10.0,-0.09578894622176204,-0.15217040553287028,-0.0401351336204134,eo,0.0
11.0,-0.09025739007588657,-0.14428508533267395,-0.0383381935538735,eo,0.0
12.0,-0.09323471813903028,-0.12648858340741323,-0.05796096896620066,eo,0.0
13.0,-0.09639889305484789,-0.12117757514366519,-0.06998184317510912,eo,0.0
14.0,-0.09912589469564387,-0.13138873510551521,-0.06744413370015417,eo,0.0
15.0,-0.10141572306141794,-0.14659846139839552,-0.05755057474226807,eo,0.0
16.0,-0.10326837815217094,-0.16014145957684323,-0.047938432779942225,eo,0.0
17.0,-0.1046838599679012,-0.17125105637803026,-0.04027393223954122,eo,0.0
18.0,-0.10566216850861121,-0.1788603287436308,-0.03487103559564962,eo,0.0
6.0,-0.024009181079431563,-0.11448111186671708,0.0800539665865096,eo,1.0
7.0,-0.015701890062632257,-0.08900312917067493,0.06800270925194996,eo,1.0
8.0,-0.0003409166747521397,-0.04495767696529562,0.04918787825866916,eo,1.0
9.0,0.019605455978637942,-0.01593322002595375,0.04971567467497727,eo,1.0
10.0,0.028389710629497245,-0.023172593186032417,0.07482215545429147,eo,1.0
11.0,0.023200114463517718,-0.028674349646101188,0.06836185043762143,eo,1.0
12.0,0.007657074263262842,-0.026383273501506897,0.0384619522672508,eo,1.0
13.0,-0.006755735203536617,-0.0315031335686341,0.018072441853266535,eo,1.0
14.0,-0.019177221407717104,-0.04723674142639861,0.013271607844417154,eo,1.0
15.0,-0.029607384349278898,-0.06767624271986257,0.01479480893440962,eo,1.0
16.0,-0.038046224028222136,-0.08309384337173081,0.016146807249144756,eo,1.0
17.0,-0.04449374044454599,-0.09718846976176536,0.017455776261790828,eo,1.0
18.0,-0.04894993359825073,-0.10659387428076443,0.019171653654740606,eo,1.0
