sweep,route,estimator,split_a,split_b,p,p_se,q,q_se,lam_from_p,lam_from_q,F_additive,p_additive,F_multiplicative,p_multiplicative,log10_falpha,n,r2
WINDOW sweep (alpha band),within,censor 6-16,full,full,0.7629367730641377,0.03971117131147463,-0.9198405934735795,0.08539065341763484,0.7629367730641377,0.9300670379823186,194.29656278423616,1.598631118926483e-71,30.460734360075172,1.4993188942452337e-13,0.9890046156985368,958,0.28921934637322544
WINDOW sweep (alpha band),within IV,censor 6-16,odd,even,0.7238334670904686,0.04083668264040315,-0.8497992134362632,0.08552959766740993,0.7238334670904686,0.8592469640154788,167.06096698302815,5.868522053934608e-63,34.77329330090261,2.6404129962000074e-15,0.9890046156985368,960,0.2587841823271516
WINDOW sweep (alpha band),within,censor 4-20,full,full,0.7423376760468271,0.04220635795749237,-1.0656375002040157,0.09223746680265298,0.7423376760468271,1.0774848603222673,155.72027979116632,4.409022863237122e-59,46.165866636836135,7.612807057079196e-20,0.9890046156985368,936,0.2502655166485894
WINDOW sweep (alpha band),within IV,censor 4-20,odd,even,0.6768591167580096,0.04165613072912644,-0.8749075377680854,0.08655951420962006,0.6768591167580096,0.8846344333288432,135.16050446483595,2.5144377057984925e-52,50.0207796822448,2.2656465350898745e-21,0.9890046156985368,944,0.22316215679981333
WINDOW sweep (alpha band),within,censor 5-14,full,full,0.803509841782925,0.04307204480044611,-0.9865961601800329,0.08994043106722416,0.803509841782925,0.9975647681716806,180.5005159727682,3.780917035175869e-67,21.53630750907321,7.13109565742541e-10,0.9890046156985368,951,0.2757836114223601
WINDOW sweep (alpha band),within IV,censor 5-14,odd,even,0.7373736302783486,0.04162564942642325,-0.8777442802071216,0.08631440415653233,0.7373736302783486,0.8875027136118756,165.8927619668243,1.5134558295316003e-62,32.18946652538455,2.9664794593056994e-14,0.9890046156985368,956,0.25824195381483994
WINDOW sweep (alpha band),within,censor 6-16 + 18-24,full,full,0.5888777032532246,0.038383303334824335,-0.6480121638426946,0.08361146758279983,0.5888777032532246,0.655216521295001,124.15057118514679,1.2585636238067494e-48,66.69990533620806,7.835265508457213e-28,0.9890046156985368,953,0.20721097025672774
WINDOW sweep (alpha band),within IV,censor 6-16 + 18-24,odd,even,0.6102453586417531,0.03809028925459931,-0.686819465069264,0.08088241671361612,0.6102453586417531,0.694455267616887,136.19965213494504,9.138095256264671e-53,64.42221385986494,5.6871111120388446e-27,0.9890046156985368,958,0.2219320992950412
WINDOW sweep (alpha band),within,"flanks 3-6, 17-30",full,full,0.788885423084685,0.041168244841576565,-1.0711481162748397,0.08022661485070022,0.788885423084685,1.0830567413664542,188.64531822372558,8.380480776991575e-70,48.92935104166827,5.846539961222057e-21,0.9890046156985368,961,0.2825531956482784
WINDOW sweep (alpha band),within IV,"flanks 3-6, 17-30",odd,even,0.7230002140657867,0.041560520101886135,-0.9768142873867703,0.07901822144860401,0.7230002140657867,0.9876741441664998,154.30430733762162,7.029651458034645e-59,58.34986851243953,1.1928145928518816e-24,0.9890046156985368,969,0.24212029569082538
WINDOW sweep (alpha band),within,"flanks 3-6, 26-36",full,full,0.6063740880784226,0.03748922563032466,-0.6882030323364312,0.07550358776764657,0.6063740880784226,0.6958542168686962,137.66220224684577,3.4037049502848704e-53,68.62407966226547,1.4862440704783781e-28,0.9890046156985368,948,0.22561574895973913
WINDOW sweep (alpha band),within IV,"flanks 3-6, 26-36",odd,even,0.5735313898138273,0.03921915003803404,-0.6957223114544412,0.07776719768917105,0.5735313898138273,0.7034570925263585,110.15735009901225,8.36746027641284e-44,77.77807265438292,4.893862968910582e-32,0.9890046156985368,965,0.18634184296374212
BAND sweep (log-symmetric flanks),within,theta,full,full,0.9172159531037544,0.09981221553826748,-1.0528559488907052,0.21631733399887634,0.9172159531037544,1.4550670017899783,46.73260938152844,2.7163964402822762e-17,5.5319975766867335,0.004607810615783216,0.7235790156711096,197,0.3251357474313976
BAND sweep (log-symmetric flanks),within IV,theta,odd,even,0.5914716058742258,0.1178581317804195,-0.47892297625194297,0.1943678285655409,0.5914716058742258,0.6618806873603824,16.540832229724042,2.0806916867200577e-07,9.669055665174382,9.528399646306553e-05,0.7235790156711096,218,0.1333498972265067
BAND sweep (log-symmetric flanks),within,alpha,full,full,0.8416005661942078,0.04208523873825888,-1.218914167188234,0.07817835398814751,0.8416005661942078,1.2324656000996632,200.753991296944,1.7532732545124256e-73,61.26456508546929,9.328236749495491e-26,0.9890046156985368,956,0.2964234893802541
BAND sweep (log-symmetric flanks),within IV,alpha,odd,even,0.7514075573831821,0.04408936309007188,-1.0392411087256304,0.07781490846029616,0.7514075573831821,1.050795003612406,145.70009895714264,4.610695340824869e-56,57.23277890900087,3.1867277441633354e-24,0.9890046156985368,974,0.2308302853530375
BAND sweep (log-symmetric flanks),within,beta,full,full,1.5466056744701477,0.10959426989338285,-2.0811416443889383,0.18485184543726618,1.5466056744701477,1.5687711659610812,102.44962110696366,2.74848252833515e-33,12.637320746836295,5.885575447533973e-06,1.3266062568876718,255,0.4484560780207868
BAND sweep (log-symmetric flanks),within IV,beta,odd,even,1.47573861239931,0.11374049006781715,-1.9562928365098031,0.1887923474748819,1.47573861239931,1.4746597389789404,87.26834999897862,1.5017952740652775e-29,9.078314822812489,0.0001557353451134039,1.3266062568876718,256,0.4082379360620768
BAND sweep (log-symmetric flanks),within,control,full,full,0.8871946878001863,0.08493165172198934,-1.1533406668571826,0.11855586545255575,0.8871946878001863,0.7545806774803242,56.87382481440372,2.1326822828223952e-21,7.237256078065064,0.0008646193100564194,1.5284524256682364,278,0.29260022468925173
BAND sweep (log-symmetric flanks),within IV,control,odd,even,0.8181952165680504,0.07019684166173404,-1.2271767838742056,0.10081876364633993,0.8181952165680504,0.8028884401408086,77.73810716466996,1.0073734249837192e-27,4.479360073616977,0.012141778766986987,1.5284524256682364,291,0.3505852384089265
