estimator,gamma,gamma_se,lam,lam_se,n,f0
censored,1.0977096707341643,0.19636415947380767,-0.21782033701316214,0.3863125238076884,37,20.0
censored,1.049716462756709,0.19645902685746305,0.004266766008364659,0.33873798449587367,37,25.0
censored,1.0172169975889513,0.19542503426615215,0.13745535233533354,0.30530972417084074,37,30.0
censored,0.9941838985523453,0.19418789572528547,0.22500031935084697,0.2810629397606558,37,35.0
local_flank,1.3091802126715777,0.2017406412753124,-0.16906301753675543,0.2874668620674812,37,20.0
local_flank,1.2666800098073943,0.2064547840751966,0.05840120374588954,0.24901979843730154,37,25.0
local_flank,1.236592559479804,0.2084423727585923,0.19640571473778282,0.22278352931416767,37,30.0
local_flank,1.2145902443041454,0.20925960290085532,0.28856178494123125,0.2041940057571866,37,35.0
full_reg,1.2780142126475154,0.18554262514147832,0.11754245012582107,0.3441721639505043,37,20.0
full_reg,1.2119749055284552,0.1885451751076969,0.362950273601355,0.30922922642854633,37,25.0
full_reg,1.168174331233528,0.18891879678571966,0.5010938980520978,0.28249858232391034,37,30.0
full_reg,1.1378346688115222,0.18848720936308017,0.5866337969634685,0.26239284586217054,37,35.0
theilsen,1.2615064453874694,0.18288995623125537,0.21818731531950547,0.3248244136050881,35,20.0
theilsen,1.1869996878845754,0.18276263602882725,0.4469035136086853,0.28241967346201563,35,25.0
theilsen,1.1424960135307387,0.18218129946178477,0.5622723164195413,0.2560042392326118,35,30.0
theilsen,1.113767965596231,0.18162498622132595,0.6295192868576462,0.238541774256093,35,35.0
specparam1,1.137764381452723,0.1963334557307513,-0.398581382978831,0.3531095625071748,37,20.0
specparam1,1.095111132245324,0.19846694592461137,-0.14804989048010717,0.3083711568724986,37,25.0
specparam1,1.0634614195329064,0.19876007352212524,0.006501416074127778,0.2769201940613982,37,30.0
specparam1,1.0399127794224226,0.1983773689348496,0.1096965087767157,0.2540021702357813,37,35.0
specparam3,1.1488738137730345,0.22920856205247142,-0.38967393518118604,0.3387317571920475,37,20.0
specparam3,1.0972738430697326,0.23418485254582044,-0.16425633222807362,0.2955281184896806,37,25.0
specparam3,1.0583046650684333,0.23614524216088267,-0.023105263295760754,0.26486719607404763,37,30.0
specparam3,1.0290054381311684,0.23677837216950323,0.07211681100726224,0.24240128131625732,37,35.0
