estimator,cond,lambda_gamma,se,lambda_ols,lambda_iv,lambda_anchored,se_anchored,n
censored,ec,0.6770602782365346,0.1502481991533742,0.6643816182583464,0.7709274497739873,-0.1250984863463557,0.4017629204010756,37
censored,eo,0.6904062248380851,0.12920709144219994,0.7076996922540246,0.6547638868892058,0.05818834773004139,0.32887816957157234,36
local_flank,ec,0.6807400648621164,0.148911492822796,0.6675364815453138,0.667693474196665,0.03782869451017787,0.3047524745112975,37
local_flank,eo,0.7104460287739505,0.13079706189178825,0.7522941200139275,0.7416280999268692,0.11361300959188236,0.2910976302291276,36
full_reg,ec,0.9045130934641269,0.14976870909950096,0.7257377480120534,0.9230927983548545,8.546842881342661e-05,0.5100980267515163,37
full_reg,eo,0.7523445468959107,0.13063239743235777,0.7558362580359328,0.7720857429009105,0.14682799025330437,0.35603125092405274,36
theilsen,ec,0.8401618117668003,0.18460062469516492,0.9578104435394635,0.8557592608603728,0.7331717597108132,0.31144446689605365,35
theilsen,eo,0.7880471900388891,0.12626281478013698,0.7766015465146033,0.7317187291621784,0.08676399200435528,0.4122508517117542,34
specparam1,ec,0.6256599161981372,0.14081629420995376,0.6074768075149354,0.5761427085245584,-0.2270773914460609,0.34360021132054397,37
specparam1,eo,0.6319557840622575,0.11670933757962258,0.6919955760555812,0.6492854487401503,-0.07997567737959432,0.30489280997938434,36
specparam3,ec,0.509854688098148,0.14357717404871684,0.5662527998192326,0.6777126570572672,-0.07627002733216895,0.2870030883432505,37
specparam3,eo,0.7072528583722784,0.12163350248872415,0.7531988825323666,0.7535473464655422,0.27578087076374574,0.25701265407418067,36
