lambda_true,rep,estimator,route,lam_hat,se,lam_hat_q,n
0.0,0,censor 6-16,within,0.10380251163251783,0.13045124031012004,0.2993712894270266,325
0.0,0,censor 6-16,within IV,0.4661323997518379,0.12298905689102815,0.37583283827999103,333
0.0,0,"flanks 3-6, 26-36",within,-0.09728412902587545,0.16579697021548181,0.09301110620590158,328
0.0,0,"flanks 3-6, 26-36",within IV,0.17736069555862588,0.15858181334777946,0.2931473206939761,335
0.0,1,censor 6-16,within,0.296584746006917,0.1470954738935597,0.3788571917990409,311
0.0,1,censor 6-16,within IV,0.20877251270399064,0.1365217394711578,0.2243619276373744,310
0.0,1,"flanks 3-6, 26-36",within,-0.4678083998365719,0.18971311759682113,-0.31664252396097886,321
0.0,1,"flanks 3-6, 26-36",within IV,-0.05438709246785803,0.16187277364295694,-0.13959087734495734,316
0.0,2,censor 6-16,within,0.5337739126767912,0.16411995952251934,0.7348197565087032,319
0.0,2,censor 6-16,within IV,0.4984367030574899,0.13056429675805514,0.5126481852413091,316
0.0,2,"flanks 3-6, 26-36",within,-0.0934370393844903,0.23128935315954566,0.17977150450575013,326
0.0,2,"flanks 3-6, 26-36",within IV,0.10735745768841823,0.19012510544552103,0.2011361035131466,317
0.0,3,censor 6-16,within,0.339784658920698,0.12003105136200617,0.24721120439631605,326
0.0,3,censor 6-16,within IV,0.45605914492858735,0.12565522995892417,0.37336084113754897,332
0.0,3,"flanks 3-6, 26-36",within,0.01423889489209888,0.15221577383653517,0.11956358476079226,326
0.0,3,"flanks 3-6, 26-36",within IV,-0.056281967990610166,0.18627032425814788,0.013431608044354153,336
0.0,4,censor 6-16,within,0.2911880144110648,0.15424981243623473,0.3120281294937127,321
0.0,4,censor 6-16,within IV,0.5454524822388952,0.16145555568765313,0.45783872695691763,321
0.0,4,"flanks 3-6, 26-36",within,0.008467716652774597,0.18493891099124657,0.0392504052910692,330
0.0,4,"flanks 3-6, 26-36",within IV,0.18075323156155176,0.17305727769214319,0.31612144264215475,330
0.0,5,censor 6-16,within,0.14145066030080206,0.1346592733935606,0.15614886258413496,325
0.0,5,censor 6-16,within IV,0.4714253906913319,0.1396192784497537,0.32883487135770184,333
0.0,5,"flanks 3-6, 26-36",within,-0.15383555984337502,0.1260291944068098,-0.07437433951221928,331
0.0,5,"flanks 3-6, 26-36",within IV,0.0248416984653498,0.14640357409304633,0.012661699219800912,334
0.0,6,censor 6-16,within,-0.07128344338289483,0.12752176606888713,0.008689536973629817,320
0.0,6,censor 6-16,within IV,0.08937956773200201,0.16563150325133771,-0.22533299746308064,331
0.0,6,"flanks 3-6, 26-36",within,-0.07213056341725171,0.15058941572460693,0.07061847616933914,323
0.0,6,"flanks 3-6, 26-36",within IV,-0.10068232108496473,0.15111884642222104,-0.036158666733389244,332
0.0,7,censor 6-16,within,0.3412325287402277,0.14701642275574203,0.22046308774235324,326
0.0,7,censor 6-16,within IV,0.7663615335342305,0.2124167168501139,0.44596830184842023,329
0.0,7,"flanks 3-6, 26-36",within,-0.03005549748324851,0.19113225316665416,-0.027774455450760516,331
0.0,7,"flanks 3-6, 26-36",within IV,0.19065003147027335,0.18246947057033394,0.08162431619411581,332
0.25,0,censor 6-16,within,0.07257185709074263,0.14146860823210433,0.12110678724628851,344
0.25,0,censor 6-16,within IV,0.17007736197279166,0.13063079334915198,0.3575342436287219,340
0.25,0,"flanks 3-6, 26-36",within,0.09473309420395479,0.1366440262458158,0.12030664249591155,343
0.25,0,"flanks 3-6, 26-36",within IV,-0.060402182369950215,0.18944825696959916,0.11017718786398821,345
0.25,1,censor 6-16,within,0.041949924349035675,0.13628730601110361,0.5545311269593196,336
0.25,1,censor 6-16,within IV,0.36597963101193615,0.14849448501138418,0.48486552966788943,330
0.25,1,"flanks 3-6, 26-36",within,0.2152822493238934,0.1686423733034298,0.47778789714564535,343
0.25,1,"flanks 3-6, 26-36",within IV,0.42541907978504173,0.18994618919244155,0.3474537931154737,341
0.25,2,censor 6-16,within,0.22120147606518054,0.13613334875234961,0.4376058907566119,342
0.25,2,censor 6-16,within IV,0.2048751613427548,0.17013233734984093,0.08227340762973721,347
0.25,2,"flanks 3-6, 26-36",within,-0.11035172894536774,0.18631708866403088,0.17770742793703612,347
0.25,2,"flanks 3-6, 26-36",within IV,0.12266044510185582,0.19434304557235868,0.1034781893683069,346
0.25,3,censor 6-16,within,-0.10148393236216409,0.19265549855393319,0.44250407984453166,333
0.25,3,censor 6-16,within IV,0.4961999691032736,0.12969372417890082,0.6814789983750164,332
0.25,3,"flanks 3-6, 26-36",within,-0.2947430482953724,0.19744574441798882,0.07737127858525641,339
0.25,3,"flanks 3-6, 26-36",within IV,0.27388138105484766,0.1867252818149378,0.210963856605986,342
0.25,4,censor 6-16,within,0.2340793699686952,0.17571812457776462,0.13407988442388147,349
0.25,4,censor 6-16,within IV,0.6397766872703596,0.1606087601995926,0.5241987242791933,339
0.25,4,"flanks 3-6, 26-36",within,0.023398604994034497,0.18133382414078855,0.16849277430460805,341
0.25,4,"flanks 3-6, 26-36",within IV,0.3186796060480681,0.18733379201996056,0.08399827654439414,339
0.25,5,censor 6-16,within,0.13347951994534982,0.1644137979094977,0.3192308748746554,351
0.25,5,censor 6-16,within IV,0.6047822835947266,0.17468316396464123,0.4105378734548977,349
0.25,5,"flanks 3-6, 26-36",within,-0.37732639786854294,0.24839194331148493,-0.165221383328445,348
0.25,5,"flanks 3-6, 26-36",within IV,0.21098003650477465,0.21149483052047935,0.2697751819452574,345
0.25,6,censor 6-16,within,-0.07209666842002248,0.1341710534452723,0.1844561898027471,330
0.25,6,censor 6-16,within IV,0.2178462901937006,0.15540515364153562,0.054997866386531084,331
0.25,6,"flanks 3-6, 26-36",within,-0.38516438423877897,0.163512133887894,-0.15792224081735373,336
0.25,6,"flanks 3-6, 26-36",within IV,0.3406939397923635,0.14976076665117208,0.3124688362338655,335
0.25,7,censor 6-16,within,0.32559993259948367,0.12189841847589583,0.6456173654350711,331
0.25,7,censor 6-16,within IV,0.43368878011342793,0.13265884859138208,0.43439807379797896,328
0.25,7,"flanks 3-6, 26-36",within,0.009610270612240079,0.18954379699481985,0.32673972119626243,338
0.25,7,"flanks 3-6, 26-36",within IV,-0.0001790594838329551,0.19243694208854592,0.00024976063977413137,324
0.5,0,censor 6-16,within,-0.03273400314646931,0.1538570170328503,0.5487067501610071,376
0.5,0,censor 6-16,within IV,0.7100601044454685,0.1819677208720132,0.7713594666184793,372
0.5,0,"flanks 3-6, 26-36",within,-0.15479817614242644,0.179452397461876,0.2603078215548241,379
0.5,0,"flanks 3-6, 26-36",within IV,0.4303601942197539,0.19915068323280502,0.5264972894857869,374
0.5,1,censor 6-16,within,-0.19573983054282076,0.1725247776885029,0.27138195076282284,369
0.5,1,censor 6-16,within IV,0.31804034267639447,0.16310317754509335,0.5492464434675044,365
0.5,1,"flanks 3-6, 26-36",within,-0.09995706538887743,0.2033766274010034,0.32144600325702694,370
0.5,1,"flanks 3-6, 26-36",within IV,0.2345579621882945,0.19565057995788268,0.47671352062416533,368
0.5,2,censor 6-16,within,-0.04145919938972123,0.11895530845161432,0.33522010224163507,379
0.5,2,censor 6-16,within IV,-0.05024429372269434,0.16832137986890225,0.1570920649553947,379
0.5,2,"flanks 3-6, 26-36",within,-0.005563101620894614,0.13105842930707284,0.2930753924841895,378
0.5,2,"flanks 3-6, 26-36",within IV,0.13143090716058897,0.17280306730572603,0.24761990847656012,379
0.5,3,censor 6-16,within,-0.2945007016619217,0.16919508957446797,0.42633648623465437,371
0.5,3,censor 6-16,within IV,0.3203074402278672,0.16334348416806613,0.6110655877916711,368
0.5,3,"flanks 3-6, 26-36",within,-0.4452521371666834,0.2843763805586389,0.19483834426471916,371
0.5,3,"flanks 3-6, 26-36",within IV,0.3131459456212917,0.18719990533164965,0.4283100439348423,369
0.5,4,censor 6-16,within,-0.19384893959224567,0.1743156069993823,0.14699507200520306,364
0.5,4,censor 6-16,within IV,0.640188894098004,0.2092024463111794,0.7937653969946913,353
0.5,4,"flanks 3-6, 26-36",within,-0.6078373531790537,0.229319506701422,-0.1351012634023203,365
0.5,4,"flanks 3-6, 26-36",within IV,0.560110678313705,0.21902874237892028,0.5452629393512403,357
0.5,5,censor 6-16,within,-0.23243892494321178,0.1592718286025257,0.46053639462354895,367
0.5,5,censor 6-16,within IV,0.3419104333086105,0.15898098158443535,0.45982251991980194,367
0.5,5,"flanks 3-6, 26-36",within,-0.19699879079822946,0.22939239659820126,0.39310683024927384,370
0.5,5,"flanks 3-6, 26-36",within IV,0.3282032454525524,0.16783023980957845,0.6214697725665799,364
0.5,6,censor 6-16,within,0.17492215020336233,0.13052321871696168,0.6830986127137436,374
0.5,6,censor 6-16,within IV,0.3068863911113808,0.17323025664188155,0.32584721609722356,366
0.5,6,"flanks 3-6, 26-36",within,0.19709685379305344,0.17433573232664726,0.6480684238625284,373
0.5,6,"flanks 3-6, 26-36",within IV,0.4913065803485293,0.1650384467161926,0.6798981812173821,362
0.5,7,censor 6-16,within,-0.001541909397831838,0.16281947146751058,0.36603254314345957,366
0.5,7,censor 6-16,within IV,0.27172392800306944,0.20239887303836476,0.2896154558393811,361
0.5,7,"flanks 3-6, 26-36",within,-0.01253759108026488,0.19283595167855988,0.5166018887925886,373
0.5,7,"flanks 3-6, 26-36",within IV,0.2750254738130974,0.19424118962456036,0.3145739273443919,362
0.75,0,censor 6-16,within,0.3895976116177111,0.13780964657728664,0.7706124344283604,397
0.75,0,censor 6-16,within IV,0.22185311347865974,0.16524982378566538,0.5344377833794899,392
0.75,0,"flanks 3-6, 26-36",within,0.4347336803329949,0.10906384651303225,0.7312976558503956,398
0.75,0,"flanks 3-6, 26-36",within IV,0.4532711684647372,0.14369137537253285,0.6456710473303312,394
0.75,1,censor 6-16,within,0.18597527384033977,0.1416641178862464,0.78905473905004,398
0.75,1,censor 6-16,within IV,0.4244030137778008,0.13665444162515855,0.640668447167166,393
0.75,1,"flanks 3-6, 26-36",within,0.39000699151231066,0.14713413582934656,0.9030255264049146,397
0.75,1,"flanks 3-6, 26-36",within IV,0.481519275109858,0.12866474036411238,0.6582291366963873,393
0.75,2,censor 6-16,within,0.4404400110972325,0.18807222403386056,0.6994281855046826,397
0.75,2,censor 6-16,within IV,0.5371993459903789,0.14262461551735686,0.8143923889743201,392
0.75,2,"flanks 3-6, 26-36",within,0.3169334898462182,0.1620404022663642,0.6699408919589241,398
0.75,2,"flanks 3-6, 26-36",within IV,0.532840383413151,0.13197765314250381,0.70799683178541,393
0.75,3,censor 6-16,within,0.0482155198452221,0.18504184393303574,0.5036388671335625,391
0.75,3,censor 6-16,within IV,0.579270840877724,0.17639673138745265,0.47570463061994306,389
0.75,3,"flanks 3-6, 26-36",within,0.14289930415469537,0.18557631567993413,0.5924682103530701,396
0.75,3,"flanks 3-6, 26-36",within IV,0.5201480784993543,0.18130432437306426,0.6037737966542324,389
0.75,4,censor 6-16,within,0.10708183579091417,0.14644371145390314,0.4595557454503718,397
0.75,4,censor 6-16,within IV,0.33780282655354943,0.16833661298149621,0.42402464684039365,395
0.75,4,"flanks 3-6, 26-36",within,0.3228567307360909,0.12248060550760706,0.6589707145491802,398
0.75,4,"flanks 3-6, 26-36",within IV,0.4230493317481762,0.18729521091135454,0.442239484715483,395
0.75,5,censor 6-16,within,-0.009218343133806251,0.12722034420547193,0.7219810645617026,391
0.75,5,censor 6-16,within IV,0.3605153833472676,0.1443813135595531,0.5886134587347807,391
0.75,5,"flanks 3-6, 26-36",within,0.09827096288347452,0.12482437169755389,0.6181914484201939,393
0.75,5,"flanks 3-6, 26-36",within IV,0.5673122827794512,0.13843024264329692,0.8174395055372234,394
0.75,6,censor 6-16,within,-0.31019552160683134,0.1476193283812739,0.4172367473654124,396
0.75,6,censor 6-16,within IV,-0.02667173731559464,0.15724362801984634,0.4642497291521748,397
0.75,6,"flanks 3-6, 26-36",within,-0.181680103208602,0.1355899787788662,0.5128677823755129,396
0.75,6,"flanks 3-6, 26-36",within IV,0.18534739348981027,0.15553233830761182,0.6516684278765786,399
0.75,7,censor 6-16,within,0.005262887825529125,0.16788577698822943,0.671988241552798,393
0.75,7,censor 6-16,within IV,0.4478916728022909,0.13239762649423636,0.5086068231555685,388
