lambda_true,rep,estimator,route,lam_hat,se,lam_hat_q,n
0.0,0,censor 6-16,within,-0.06441757969748696,0.1265440655413119,0.033447913667860665,328
0.0,0,censor 6-16,within IV,0.2612424773872597,0.16948404253600194,0.2524615515228426,339
0.0,0,"flanks 3-6, 26-36",within,-0.08717941903900003,0.17283697592985064,0.09122738424376187,328
0.0,0,"flanks 3-6, 26-36",within IV,0.19866043476827694,0.155067080516985,0.2680797186896741,335
0.0,1,censor 6-16,within,-0.00459077959705121,0.15362499539596838,0.24554178681584654,318
0.0,1,censor 6-16,within IV,0.08514897267726458,0.15458235843773563,-0.162302203244605,316
0.0,1,"flanks 3-6, 26-36",within,-0.4846264998658107,0.1930825497213723,-0.4075053355336215,321
0.0,1,"flanks 3-6, 26-36",within IV,-0.06860613752278957,0.18987041951782047,-0.27819332790762413,317
0.0,2,censor 6-16,within,0.32117216796245546,0.18012703653574663,0.3657763911460195,325
0.0,2,censor 6-16,within IV,0.396235364661549,0.14176950268433233,0.37342351257633355,319
0.0,2,"flanks 3-6, 26-36",within,-0.06784806713876518,0.2326274242421167,0.14639227463088958,326
0.0,2,"flanks 3-6, 26-36",within IV,0.09318277858502487,0.20277977783571163,0.13625100005566587,317
0.0,3,censor 6-16,within,0.21565727314729127,0.14380896928562956,0.1421527291519941,330
0.0,3,censor 6-16,within IV,0.29826370139469094,0.12988035783724694,0.23998041179603058,335
0.0,3,"flanks 3-6, 26-36",within,0.0016972517933844296,0.16072825714833153,0.07204222019845803,326
0.0,3,"flanks 3-6, 26-36",within IV,-0.13193654040401387,0.1958027833908615,-0.1412567631880062,336
0.0,4,censor 6-16,within,0.04281001751028223,0.15950615378808145,0.12271830507147603,330
0.0,4,censor 6-16,within IV,0.4324309153460383,0.1880674878165688,0.6706470716355042,327
0.0,4,"flanks 3-6, 26-36",within,-0.1445859308257591,0.20955812954175929,-0.21991881359847057,331
0.0,4,"flanks 3-6, 26-36",within IV,0.2164664171249445,0.18270206147742898,0.3561212469642933,330
0.0,5,censor 6-16,within,0.12956917567823623,0.13998561410609572,0.1138392917645473,333
0.0,5,censor 6-16,within IV,0.36713696575436855,0.15705816200108716,0.11659042880317032,338
0.0,5,"flanks 3-6, 26-36",within,-0.17293276024785428,0.13200572158726429,-0.13730659838078008,331
0.0,5,"flanks 3-6, 26-36",within IV,-0.0377312883078549,0.1536604160785126,-0.1283654682721967,334
0.25,0,censor 6-16,within,-0.09152562291492577,0.16074135061783473,0.18616426766946126,349
0.25,0,censor 6-16,within IV,-0.022433588425646377,0.15348344346848847,0.19652478634917575,344
0.25,0,"flanks 3-6, 26-36",within,0.10153312625334418,0.13870013087967906,0.13901596149236717,343
0.25,0,"flanks 3-6, 26-36",within IV,-0.023582022181779353,0.1899264741833836,0.18757869326572404,345
0.25,1,censor 6-16,within,0.1325801457739429,0.14164380561351805,0.752332463888989,339
0.25,1,censor 6-16,within IV,0.25839725326713486,0.15182845120983465,0.39414742946850434,332
0.25,1,"flanks 3-6, 26-36",within,0.26897312300974635,0.1708386503652257,0.5824949364000988,343
0.25,1,"flanks 3-6, 26-36",within IV,0.43708986008777556,0.19602222141177736,0.364999193743128,341
0.25,2,censor 6-16,within,0.001160924749027667,0.1559454523468659,0.4834309846251867,345
0.25,2,censor 6-16,within IV,0.036648666107935504,0.15513939937056423,0.11736555340996915,349
0.25,2,"flanks 3-6, 26-36",within,-0.08890311970167494,0.1852570592995255,0.22165248672251453,347
0.25,2,"flanks 3-6, 26-36",within IV,0.148638070416287,0.19392181125877084,0.15923524898791078,346
0.25,3,censor 6-16,within,-0.08680531133510117,0.15701956982184234,0.3954247875888782,333
0.25,3,censor 6-16,within IV,0.26348783110147733,0.21031234837464505,0.34243774054497866,341
0.25,3,"flanks 3-6, 26-36",within,-0.2511481436183229,0.19311871238137054,0.1659196505789493,339
0.25,3,"flanks 3-6, 26-36",within IV,0.2876336748827557,0.19038182692060374,0.24891057376101408,342
0.25,4,censor 6-16,within,0.11093079877238529,0.15926051737668634,0.11547763197640114,351
0.25,4,censor 6-16,within IV,0.33486787848075805,0.18421742253139906,0.23075068618204178,345
0.25,4,"flanks 3-6, 26-36",within,-0.0103722010121843,0.23896398760085039,0.22483148022494628,343
0.25,4,"flanks 3-6, 26-36",within IV,0.20930089876678493,0.2019415278738943,0.02509236137293481,340
0.25,5,censor 6-16,within,0.08127784091293667,0.15592474517223143,0.262238225651537,354
0.25,5,censor 6-16,within IV,0.35098038560372913,0.18444978209683233,0.11542806250758648,352
0.25,5,"flanks 3-6, 26-36",within,-0.3224126233706068,0.22993765816052955,-0.09869294187210778,348
0.25,5,"flanks 3-6, 26-36",within IV,0.22623886852981542,0.2132292511160264,0.30857063683199404,345
0.5,0,censor 6-16,within,0.004450912804404216,0.14420080883136147,0.542423041807996,376
0.5,0,censor 6-16,within IV,0.5813673625123286,0.1546958492521306,0.6627423441635752,372
0.5,0,"flanks 3-6, 26-36",within,-0.14738845628905006,0.17868180320747645,0.29205026519669786,379
0.5,0,"flanks 3-6, 26-36",within IV,0.44100634629646335,0.1976759214285142,0.5510669993488058,374
0.5,1,censor 6-16,within,-0.12706354248462345,0.15717249079150164,0.3703013544074457,370
0.5,1,censor 6-16,within IV,0.3248000877772635,0.145689327106941,0.5521283544902879,365
0.5,1,"flanks 3-6, 26-36",within,-0.08669100133141042,0.20232871993180251,0.3610922896092954,370
0.5,1,"flanks 3-6, 26-36",within IV,0.25583279131436737,0.1964220959013742,0.5288688274817469,368
0.5,2,censor 6-16,within,-0.027937591980474463,0.11448241344101596,0.3476069143121655,379
0.5,2,censor 6-16,within IV,-0.002257544982038902,0.1524292356922899,0.20228496167557222,379
0.5,2,"flanks 3-6, 26-36",within,0.03873472928740465,0.16452068862432606,0.4110544036280459,379
0.5,2,"flanks 3-6, 26-36",within IV,0.14618107659387863,0.17147432800959542,0.2818983443245883,379
0.5,3,censor 6-16,within,-0.20770876347310402,0.16394052123959896,0.4637542730346001,372
0.5,3,censor 6-16,within IV,0.23295949066592314,0.1613111368480671,0.5142170828650723,369
0.5,3,"flanks 3-6, 26-36",within,-0.42211201313310037,0.27756064153455173,0.25050907895174945,371
0.5,3,"flanks 3-6, 26-36",within IV,0.32800981181334793,0.18726658535890606,0.4581611978914985,369
0.5,4,censor 6-16,within,-0.09027893579720767,0.18912838105803192,0.32868745399690846,367
