lambda_true,rep,band,window,lam_ols,lam_iv,n,frac_kept
0.0,0,alpha,censor 6-16,-0.34510788685397925,-0.4598711690553676,120,0.34285714285714286
0.0,0,alpha,"flanks 3-6, 26-36",-0.43930900392282063,-0.19399760809230696,185,0.5285714285714286
0.0,0,control,censor 6-16,,,9,
0.0,0,control,"flanks 3-6, 26-36",,,11,
0.0,1,alpha,censor 6-16,-0.21224554674819177,-0.27028360718565847,121,0.3457142857142857
0.0,1,alpha,"flanks 3-6, 26-36",-0.4541248833254743,-0.16762876255763462,176,0.5028571428571429
0.0,1,control,censor 6-16,,,4,
0.0,1,control,"flanks 3-6, 26-36",,,4,
0.0,2,alpha,censor 6-16,-0.29528895851625586,-0.4537583818961653,105,0.3
0.0,2,alpha,"flanks 3-6, 26-36",-0.24471134204979317,0.011979019217659797,170,0.4857142857142857
0.0,2,control,censor 6-16,,,4,
0.0,2,control,"flanks 3-6, 26-36",,,6,
0.0,3,alpha,censor 6-16,-0.11543956990190368,-0.17717353442773426,110,0.3142857142857143
0.0,3,alpha,"flanks 3-6, 26-36",-0.38819317561217154,-0.2525209119828903,177,0.5057142857142857
0.0,3,control,censor 6-16,,,11,
0.0,3,control,"flanks 3-6, 26-36",,,10,
0.25,0,alpha,censor 6-16,-0.11162073865680079,-0.1006577943548579,108,0.30857142857142855
0.25,0,alpha,"flanks 3-6, 26-36",-0.4539900610984623,-0.034491311231421275,180,0.5142857142857142
0.25,0,control,censor 6-16,,,14,
0.25,0,control,"flanks 3-6, 26-36",,,11,
0.25,1,alpha,censor 6-16,-0.7452324352339749,-0.7663737253758319,124,0.35428571428571426
0.25,1,alpha,"flanks 3-6, 26-36",-0.29133215048313194,-0.10018128931643144,201,0.5742857142857143
0.25,1,control,censor 6-16,,,6,
0.25,1,control,"flanks 3-6, 26-36",,,10,
0.25,2,alpha,censor 6-16,-0.5384048636947014,-0.5529728458418441,109,0.31142857142857144
0.25,2,alpha,"flanks 3-6, 26-36",-0.4083869415623899,-0.21908631936072753,183,0.5228571428571429
0.25,2,control,censor 6-16,,,9,
0.25,2,control,"flanks 3-6, 26-36",,,13,
0.25,3,alpha,censor 6-16,-0.1265696026763474,-0.2927900656077395,126,0.36
0.25,3,alpha,"flanks 3-6, 26-36",-0.415773543331025,0.3904238407947032,188,0.5371428571428571
0.25,3,control,censor 6-16,,,5,
0.25,3,control,"flanks 3-6, 26-36",,,5,
0.5,0,alpha,censor 6-16,-0.5095341881792974,-0.48517096006038557,128,0.3657142857142857
0.5,0,alpha,"flanks 3-6, 26-36",-0.4568379835287766,0.15906802192648895,233,0.6657142857142857
0.5,0,control,censor 6-16,,,11,
0.5,0,control,"flanks 3-6, 26-36",,,11,
0.5,1,alpha,censor 6-16,-0.5732196243968449,-0.6816458325033015,123,0.3514285714285714
0.5,1,alpha,"flanks 3-6, 26-36",-0.6975334087769579,-0.3367297531020733,203,0.58
0.5,1,control,censor 6-16,,,4,
0.5,1,control,"flanks 3-6, 26-36",,,8,
0.5,2,alpha,censor 6-16,-0.15316419833148626,-0.06786480158636163,122,0.3485714285714286
0.5,2,alpha,"flanks 3-6, 26-36",-0.5159262056024526,-0.21774163645158315,199,0.5685714285714286
0.5,2,control,censor 6-16,,,4,
0.5,2,control,"flanks 3-6, 26-36",,,7,
0.5,3,alpha,censor 6-16,-0.3014064745384205,-0.09495125963538248,122,0.3485714285714286
0.5,3,alpha,"flanks 3-6, 26-36",-0.45813301195226375,0.05199123073302613,212,0.6057142857142858
0.5,3,control,censor 6-16,,,13,
0.5,3,control,"flanks 3-6, 26-36",,,10,
0.75,0,alpha,censor 6-16,-0.0038446308946781223,0.32448359576586083,191,0.5457142857142857
0.75,0,alpha,"flanks 3-6, 26-36",-0.597557701678891,-0.04554109717013652,228,0.6514285714285715
0.75,0,control,censor 6-16,,,13,
0.75,0,control,"flanks 3-6, 26-36",,,12,
0.75,1,alpha,censor 6-16,0.17190650566178056,0.6162797841486887,186,0.5314285714285715
0.75,1,alpha,"flanks 3-6, 26-36",-0.7435308130364154,0.09446293880281381,230,0.6571428571428571
0.75,1,control,censor 6-16,-0.28092850872996483,-0.693920685659596,24,0.06857142857142857
0.75,1,control,"flanks 3-6, 26-36",,,11,
0.75,2,alpha,censor 6-16,-0.45972019875947684,-0.08310565382046972,186,0.5314285714285715
0.75,2,alpha,"flanks 3-6, 26-36",-0.6126974877378175,0.17373682810901314,241,0.6885714285714286
0.75,2,control,censor 6-16,,,17,
0.75,2,control,"flanks 3-6, 26-36",,,11,
0.75,3,alpha,censor 6-16,-0.6041156543867634,-0.31992867659994434,190,0.5428571428571428
0.75,3,alpha,"flanks 3-6, 26-36",-0.67710801675407,0.09562573211767793,234,0.6685714285714286
0.75,3,control,censor 6-16,,,13,
0.75,3,control,"flanks 3-6, 26-36",,,8,
1.0,0,alpha,censor 6-16,-0.3477147950948785,0.1360349919504296,313,0.8942857142857142
1.0,0,alpha,"flanks 3-6, 26-36",-0.801810570299268,0.40079928174689733,248,0.7085714285714285
1.0,0,control,censor 6-16,0.4054172116069842,0.5795169944777258,23,0.06571428571428571
1.0,0,control,"flanks 3-6, 26-36",,,13,
1.0,1,alpha,censor 6-16,-0.25430442554734045,0.055144012682723544,315,0.9
1.0,1,alpha,"flanks 3-6, 26-36",-0.7278918484465283,0.5795755711926416,253,0.7228571428571429
1.0,1,control,censor 6-16,,,15,
1.0,1,control,"flanks 3-6, 26-36",,,12,
1.0,2,alpha,censor 6-16,-0.23889886019269055,0.4326798465268178,313,0.8942857142857142
1.0,2,alpha,"flanks 3-6, 26-36",-0.9650420962315359,-0.27433409624728583,233,0.6657142857142857
1.0,2,control,censor 6-16,0.029545173057783366,-0.46341250821733543,22,0.06285714285714286
1.0,2,control,"flanks 3-6, 26-36",,,16,
1.0,3,alpha,censor 6-16,-0.22641841846175484,0.29903603481025115,313,0.8942857142857142
1.0,3,alpha,"flanks 3-6, 26-36",-0.7100861004671641,0.846448938367924,232,0.6628571428571428
1.0,3,control,censor 6-16,0.7508914230813827,1.4137283452732132,28,0.08
1.0,3,control,"flanks 3-6, 26-36",,,13,
