lambda_true,rep,lam_ols,lam_iv,n,lam_iv_ctrl,n_ctrl
0.0,0,-6.224530117935887,-3.6855400009087047,250,37.753958347161465,250
0.0,1,-1.5449061422310142,0.6594104962921276,250,1.2166323736577238,250
0.0,2,-3.2749598605734787,-0.13161938407149007,250,-8.570133162836495,250
0.25,0,-3.7052961031992995,-2.7933651777637465,250,-32.624363239257264,250
0.25,1,-5.473497613100669,-4.356853450050008,250,-21.342338859176095,250
0.25,2,-2.5862786178386616,-0.7886955358766744,250,-8.794975010453372,250
0.5,0,-4.7817407094749615,-0.6824400076333248,250,-35.08492829324977,250
0.5,1,-3.6619700861719395,9.775145882441178,250,4.89013236583188,250
0.5,2,-2.2779730083895187,-1.0279642510043445,250,-12.46592935871882,250
0.75,0,-5.978247211565163,-0.14987557789062914,250,28.791756993457888,250
0.75,1,-5.349799749714687,-3.7866911544149033,250,10.931072351262996,250
0.75,2,-5.415166531664909,-2.5087252072432937,250,-10.905721910495899,250
1.0,0,-4.728443644449514,-0.7070759304350347,250,67.40990051019828,250
1.0,1,-4.844975360524548,1.9458074746299991,250,-26.5207241666336,250
1.0,2,-5.198621819492008,-0.13922228690679647,250,27.97362991877777,250
