fit_lo,fit_hi,censor_lo,censor_hi,harmonic,iaf_shift,model,n,r_exp_alpha,r_b_alpha,d_exp_post
2.0,40.0,6.0,16.0,0.15,0.0,fixed,191,0.3273296906518428,0.31657508466545026,0.030134835888041937
4.0,40.0,6.0,16.0,0.15,0.0,fixed,197,0.24357993969497593,0.24555784819559254,0.15596212690122618
5.0,40.0,7.0,16.0,0.15,0.0,fixed,200,0.27222544124244785,0.27681519008892197,0.2775712874123197
2.0,30.0,6.0,16.0,0.15,0.0,fixed,194,-0.31819019827974926,0.3416529725959465,-0.08074911933790418
2.0,40.0,6.0,16.0,0.0,0.0,fixed,191,0.15891696564845098,0.23591231123397258,0.026448296002006978
4.0,40.0,6.0,16.0,0.0,0.0,fixed,194,0.14754415634532717,0.18920495854223232,0.06133192757772696
5.0,40.0,7.0,16.0,0.0,0.0,fixed,198,0.24203530759058986,0.26317090364184037,0.1510597759717198
2.0,30.0,6.0,16.0,0.0,0.0,fixed,192,0.21228774695044644,0.26779923886439344,0.02919148653511501
2.0,40.0,6.0,16.0,0.15,-0.3,fixed,191,0.4584025177128172,0.3270451502202168,0.024769017871221172
4.0,40.0,6.0,16.0,0.15,-0.3,fixed,195,0.3216131792704382,0.29296886567421615,0.1473260384721272
5.0,40.0,7.0,16.0,0.15,-0.3,fixed,199,0.3750964556278976,0.3487620453396725,0.2583685207532836
2.0,30.0,6.0,16.0,0.15,-0.3,fixed,193,-0.26196874379127666,0.3452202135053031,-0.08962836494568589
